2023-07-04 17:53:43,358 INFO pid=24168 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-07-04 19:49:43,924 INFO pid=14688 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-07-04 19:49:43,924 INFO pid=14688 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-07-04 19:49:43,925 INFO pid=14688 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-07-04 19:49:43,927 INFO pid=14688 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-07-04 19:49:43,927 INFO pid=14688 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-07-04 19:56:31,406 INFO pid=29068 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-07-04 19:56:31,406 INFO pid=29068 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-07-04 19:56:31,408 INFO pid=29068 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-07-04 19:56:31,409 INFO pid=29068 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-07-04 19:56:31,409 INFO pid=29068 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-07-05 13:20:39,294 INFO pid=16364 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-07-05 13:20:39,295 INFO pid=16364 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-07-05 13:20:39,297 INFO pid=16364 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-07-05 13:20:39,299 INFO pid=16364 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-07-05 13:20:39,299 INFO pid=16364 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-07-05 13:27:30,261 INFO pid=4524 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-07-05 13:27:30,261 INFO pid=4524 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-07-05 13:27:30,263 INFO pid=4524 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-07-05 13:27:30,264 INFO pid=4524 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-07-05 13:27:30,264 INFO pid=4524 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-07-05 13:32:17,419 INFO pid=16856 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-07-05 13:32:17,419 INFO pid=16856 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-07-05 13:32:17,420 INFO pid=16856 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-07-05 13:32:17,422 INFO pid=16856 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-07-05 13:32:17,422 INFO pid=16856 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-07-11 00:54:54,453 INFO pid=12520 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-07-11 00:54:54,454 INFO pid=12520 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-07-11 00:54:54,455 INFO pid=12520 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-07-11 00:54:54,456 INFO pid=12520 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-07-11 00:54:54,457 INFO pid=12520 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-07-11 01:14:02,810 INFO pid=4076 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-07-11 01:14:02,810 INFO pid=4076 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-07-11 01:14:02,812 INFO pid=4076 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-07-11 01:14:02,813 INFO pid=4076 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-07-11 01:14:02,813 INFO pid=4076 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-07-11 01:14:41,350 INFO pid=21184 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-07-11 01:14:41,350 INFO pid=21184 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-07-11 01:14:41,352 INFO pid=21184 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-07-11 01:14:41,353 INFO pid=21184 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-07-11 01:14:41,353 INFO pid=21184 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-07-20 10:51:17,645 INFO pid=10244 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-07-20 10:51:17,646 INFO pid=10244 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-07-20 10:51:17,647 INFO pid=10244 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-07-20 10:51:17,650 INFO pid=10244 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-07-20 10:51:17,650 INFO pid=10244 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-07-20 12:15:28,875 INFO pid=7584 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-07-20 12:15:28,876 INFO pid=7584 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-07-20 12:15:28,877 INFO pid=7584 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-07-20 12:15:28,878 INFO pid=7584 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-07-20 12:15:28,879 INFO pid=7584 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-08-25 20:14:32,100 INFO pid=11092 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-08-25 20:14:32,100 INFO pid=11092 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-08-25 20:14:32,101 INFO pid=11092 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-08-25 20:14:32,103 INFO pid=11092 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-08-25 20:14:32,103 INFO pid=11092 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-08-26 00:14:21,869 INFO pid=10616 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-08-26 00:14:21,869 INFO pid=10616 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-08-26 00:14:21,871 INFO pid=10616 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-08-26 00:14:21,873 INFO pid=10616 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-08-26 00:14:21,874 INFO pid=10616 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-10-11 13:37:46,689 INFO pid=19316 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-10-11 13:37:46,787 INFO pid=19316 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-10-11 13:37:46,789 INFO pid=19316 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-10-11 13:37:46,791 INFO pid=19316 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-10-11 13:37:46,791 INFO pid=19316 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-10-11 14:36:16,273 INFO pid=18524 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-10-11 14:36:16,274 INFO pid=18524 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-10-11 14:36:16,276 INFO pid=18524 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-10-11 14:36:16,278 INFO pid=18524 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-10-11 14:36:16,278 INFO pid=18524 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-10-11 20:36:51,729 INFO pid=16660 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-10-11 20:36:51,730 INFO pid=16660 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-10-11 20:36:51,731 INFO pid=16660 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-10-11 20:36:51,732 INFO pid=16660 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-10-11 20:36:51,732 INFO pid=16660 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-10-12 15:23:09,028 INFO pid=16984 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-10-12 15:23:09,029 INFO pid=16984 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-10-12 15:23:09,030 INFO pid=16984 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-10-12 15:23:09,031 INFO pid=16984 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-10-12 15:23:09,031 INFO pid=16984 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-10-12 15:28:14,976 INFO pid=10260 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-10-12 15:28:14,979 INFO pid=10260 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-10-12 15:28:14,980 INFO pid=10260 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-10-12 15:28:14,982 INFO pid=10260 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-10-12 15:28:14,982 INFO pid=10260 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-10-12 18:04:31,317 INFO pid=18532 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-10-12 18:04:31,317 INFO pid=18532 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-10-12 18:04:31,319 INFO pid=18532 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-10-12 18:04:31,321 INFO pid=18532 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-10-12 18:04:31,321 INFO pid=18532 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-10-13 13:01:48,578 INFO pid=4604 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-10-13 13:01:48,579 INFO pid=4604 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-10-13 13:01:48,581 INFO pid=4604 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-10-13 13:01:48,583 INFO pid=4604 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-10-13 13:01:48,583 INFO pid=4604 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-10-14 17:13:20,597 INFO pid=19964 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-10-14 17:13:20,598 INFO pid=19964 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-10-14 17:13:20,599 INFO pid=19964 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-10-14 17:13:20,600 INFO pid=19964 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-10-14 17:13:20,600 INFO pid=19964 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-10-14 23:08:33,347 INFO pid=3756 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-10-14 23:08:33,347 INFO pid=3756 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-10-14 23:08:33,349 INFO pid=3756 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-10-14 23:08:33,350 INFO pid=3756 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-10-14 23:08:33,350 INFO pid=3756 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-10-15 12:08:23,645 INFO pid=5820 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-10-15 12:08:23,646 INFO pid=5820 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-10-15 12:08:23,647 INFO pid=5820 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-10-15 12:08:23,648 INFO pid=5820 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-10-15 12:08:23,649 INFO pid=5820 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-10-15 12:26:02,921 INFO pid=16228 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-10-15 12:26:02,922 INFO pid=16228 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-10-15 12:26:02,923 INFO pid=16228 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-10-15 12:26:02,924 INFO pid=16228 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-10-15 12:26:02,924 INFO pid=16228 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-10-15 12:30:27,610 INFO pid=11696 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-10-15 12:30:27,611 INFO pid=11696 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-10-15 12:30:27,613 INFO pid=11696 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-10-15 12:30:27,615 INFO pid=11696 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-10-15 12:30:27,615 INFO pid=11696 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-10-15 21:14:23,590 INFO pid=17064 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-10-15 21:14:23,591 INFO pid=17064 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-10-15 21:14:23,593 INFO pid=17064 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-10-15 21:14:23,595 INFO pid=17064 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-10-15 21:14:23,595 INFO pid=17064 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-10-18 11:45:55,078 INFO pid=13992 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-10-18 11:45:55,079 INFO pid=13992 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-10-18 11:45:55,080 INFO pid=13992 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-10-18 11:45:55,082 INFO pid=13992 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-10-18 11:45:55,082 INFO pid=13992 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-10-23 19:09:43,191 INFO pid=19792 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-10-23 19:09:43,192 INFO pid=19792 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-10-23 19:09:43,193 INFO pid=19792 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-10-23 19:09:43,195 INFO pid=19792 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-10-23 19:09:43,195 INFO pid=19792 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
2023-10-23 19:30:10,493 INFO pid=14960 tid=MainThread file=regex_loader.py:__init__:20 | Init Regex Loader...
2023-10-23 19:30:10,493 INFO pid=14960 tid=MainThread file=regex_conf.py:_read_conf:28 | Get tokens from field_extraction_token.conf
2023-10-23 19:30:10,497 INFO pid=14960 tid=MainThread file=regex_conf.py:_read_conf:31 | Get the fields from field_extraction_field.conf
2023-10-23 19:30:10,500 INFO pid=14960 tid=MainThread file=regex_tokenizer.py:__init__:12 | Init tokenizer...
2023-10-23 19:30:10,500 INFO pid=14960 tid=MainThread file=regex_generator.py:__init__:13 | Init Generator...
